Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(35).pdf,28003A,Clipper Earl Grey (Org) 80s 6x80Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,6.40,27.43,4.57,0.00,27.43,✓,,
Invoice(35).pdf,28240A,Clipper After Dinner Mints' Mint/Fennel (Org 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.14,11.83,2.96,0.00,11.83,✓,,
Invoice(35).pdf,50723A,Clipper Blackcurrant & Blueberry (Org) 4x20Bags,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,4.14,11.83,2.96,0.00,11.83,✓,,
Invoice(35).pdf,43210A,Cocos Coconut Milk Kefir Nat (Org)(DRS) 6x500ml,0/3,0/3,0.0,3.0,0.0,3.0,6,3.0,3.0,5.32,22.78,3.80,0.00,11.39,✓,,
Invoice(35).pdf,43210D,Cocos Deposit Coconut Milk Kefir Natural DRS-1,0,3,0,0.0,0,3.0,,0.0,3.0,0.15,0.15,0.15,0.00,0.45,✓,,
Invoice(35).pdf,43211A,Cocos Coconut Milk Kefir Strawb (Org)(DRS) 6x200ml,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,3.98,17.06,2.84,0.00,5.69,✓,,
Invoice(35).pdf,43211D,Cocos Deposit Coconut Milk Kefir Strawb DRS-1,0,2,0,0.0,0,2.0,,0.0,2.0,0.15,0.15,0.15,0.00,0.30,✓,,
Invoice(35).pdf,40167A,Cultured Food Co. RAW Sauerkraut Chilli & Dill (Org) 1x400g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.05,4.32,4.32,0.00,4.32,✓,,
Invoice(35).pdf,11076B,Doves Farm Rice Flour GF 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,3.10,11.08,2.22,0.00,11.08,✓,,
Invoice(35).pdf,11089B,Doves Farm Plain White Flour GF 5x1kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,3.79,13.55,2.71,0.00,13.55,✓,,
Invoice(35).pdf,11114A,Doves Farm Strong White Flour (Org) 5x1.5kg,1/0,1/0,1.0,0.0,1.0,0.0,5,5.0,5.0,3.34,10.13,2.03,0.00,10.13,✓,,
Invoice(35).pdf,27249A,Doves Farm Stem Ginger Cookies FT GF (Org) 12x150g,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,2.88,21.73,1.81,2.93,21.73,✓,,
Invoice(35).pdf,43664A,Doves Farm Apricot Oatbars Chia Seeds (Org) GF 18x35g,1/0,1/0,1.0,0.0,1.0,0.0,18,18.0,18.0,0.98,11.08,0.62,1.50,11.08,✓,,
Invoice(35).pdf,49391A,Dr Coys Chicken Bouillon (Org) 6x125g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,6.21,26.63,4.44,0.00,26.63,✓,,
Invoice(35).pdf,40249A,Dr. Bronner Baby-Mild Castile Liquid Soap (Org) 1x946ml,1,1,0,1.0,0,1.0,1,1.0,1.0,28.94,15.69,15.69,3.61,15.69,✓,,
Invoice(35).pdf,40268A,Dr. Bronner Lavender Soap Bar (Org) 1x140g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.82,3.70,3.70,0.85,3.70,✓,,
Invoice(35).pdf,45255B,Eco Bath Co Natural Pumice Stone (Black) 1x1,2,2,0,2.0,0,2.0,1,2.0,2.0,8.82,4.78,4.78,2.20,9.56,✓,,
Invoice(35).pdf,42951B,Ecover Dish Washer Tablets Zero 12x24Tabs,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,12.60,87.82,7.32,20.20,87.82,✓,,
Invoice(35).pdf,46490B,Ecover Laundry Liquid Zero 1x15L,1/0,1/0,1.0,0.0,1.0,0.0,1,1.0,1.0,157.09,91.22,91.22,20.98,91.22,✓,,
Invoice(35).pdf,47255A,Emma Noel Castor Oil FT (Org) 1x100ml,2,2,0,2.0,0,2.0,1,2.0,2.0,13.22,7.68,7.68,3.53,15.36,✓,,
Invoice(35).pdf,36972B,Emmas So NaturalsHarmony Blend Eco Soy Candle 20 hour 1x1,3,3,0,3.0,0,3.0,1,3.0,3.0,11.49,6.23,6.23,4.30,18.68,✓,,
Invoice(35).pdf,11392B,Faith In Nature Rosemary Pure Soap 6x100g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.36,10.93,1.82,2.51,10.93,✓,,
Invoice(35).pdf,50986B,Faith in Nature Coconut Body Wash ALU 6x500ml,0/4,0/4,0.0,4.0,0.0,4.0,6,4.0,4.0,9.20,29.92,4.99,4.59,19.95,✓,,
Invoice(35).pdf,16657B,Green People Mandarin Toothpaste 1x50ml,1,1,0,1.0,0,1.0,1,1.0,1.0,6.66,3.61,3.61,0.83,3.61,✓,,
Invoice(35).pdf,12062A,Holle Tea for Babies (Organic) 8x30g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,3.02,17.28,2.16,0.00,17.28,✓,,
Invoice(35).pdf,26878B,Hopes Relief Premium Eczema Cream 1x60g,1,1,0,1.0,0,1.0,1,1.0,1.0,21.77,11.80,11.80,2.71,11.80,✓,,
Invoice(35).pdf,50268B,Hungry Soul Original Cashew Cream Spread 1x120g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.28,4.49,4.49,0.00,4.49,✓,,
Invoice(35).pdf,23369B,If You Care Baking Sheets 31.75cm x 40.64cm 1x24Sheets,2,2,0,2.0,0,2.0,1,2.0,2.0,6.08,3.53,3.53,1.62,7.06,✓,,
Invoice(35).pdf,12339A,IND Prepacks OrganAiclmonds Flaked (Org) 6x250g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,9.33,37.33,6.22,0.00,37.33,✓,,
Invoice(35).pdf,12498A,IND Prepacks OrganGicreen Split Peas (Org) 6x500g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.29,13.18,2.20,0.00,13.18,✓,,
Invoice(35).pdf,12688A,IND Prepacks OrganSicemolina (Org) 6x500g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.62,10.46,1.74,0.00,10.46,✓,,
Invoice(35).pdf,28551A,IND Prepacks OrganPicsyllium Husks (Org) 1x250g,1,1,0,1.0,0,1.0,1,1.0,1.0,10.48,6.99,6.99,0.00,6.99,✓,,
Invoice(35).pdf,32432A,IND Prepacks OrganBicrown Rice Puffs (Org) 6x150g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.41,9.63,1.61,0.00,9.63,✓,,
Invoice(35).pdf,43281A,IND Prepacks OrganRiced Lentils (Org) 6x1Kg,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.83,23.33,3.89,0.00,23.33,✓,,
Invoice(35).pdf,41551A,Iswari Turmeric and Black Pepper (Org) 1x150g,1,1,0,1.0,0,1.0,1,1.0,1.0,4.47,2.71,2.71,0.00,2.71,✓,,
Invoice(35).pdf,49381B,Juspy Collagen Protein Cacao Superfood Ble 1x200g,5,5,0,5.0,0,5.0,1,5.0,5.0,18.89,11.89,11.89,8.02,59.44,✓,,
Invoice(35).pdf,49417B,Juspy Collagen Protein Cacao Superfood Ble 1x400g,5,5,0,5.0,0,5.0,1,5.0,5.0,32.33,20.35,20.35,13.73,101.72,✓,,
Invoice(35).pdf,49660A,Kiki (*EM*) Psyllium Husks (Org) 1x120VCaps,1,1,0,1.0,0,1.0,1,1.0,1.0,25.35,13.40,13.40,1.81,13.40,✓,,
Invoice(35).pdf,10922B,Kingfisher Baking Soda Mint 12x100ml,0/1,0/1,0.0,1.0,0.0,1.0,12,1.0,1.0,5.58,36.32,3.03,0.70,3.03,✓,,
Invoice(35).pdf,16247B,Kingfisher Aloe Vera Tea Tree Fennel Toothpaste 12x100ml,0/1,0/1,0.0,1.0,0.0,1.0,12,1.0,1.0,5.58,36.32,3.03,0.70,3.03,✓,,
Invoice(35).pdf,33281B,Kingfisher Childrens Strawberry Toothpaste 12x100ml,0/3,0/3,0.0,3.0,0.0,3.0,12,3.0,3.0,5.58,36.32,3.03,2.09,9.08,✓,,
Invoice(35).pdf,40176B,Kingfisher Charcoal Natural Toothpaste 12x100ml,0/2,0/2,0.0,2.0,0.0,2.0,12,2.0,2.0,5.58,36.32,3.03,1.39,6.05,✓,,
Invoice(35).pdf,19524A,Le Pain des Fleurs Quinoa Crispbread GF FT (Org) 6x150g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.03,18.99,3.16,2.56,18.99,✓,,
Invoice(35).pdf,34904A,Linwoods Milled Flaxseed & Goji Berries (Org) 1x425g,4,4,0,4.0,0,4.0,1,4.0,4.0,8.29,5.92,5.92,0.00,23.69,✓,,
Invoice(35).pdf,34910A,Linwoods Milled Flaxseed 200g (Org) 1x200g,2,2,0,2.0,0,2.0,1,2.0,2.0,4.62,3.30,3.30,0.00,6.61,✓,,
Invoice(35).pdf,40917A,Lord of Tofu Tofu Natural (Org) 5x200g,0/2,0/2,0.0,2.0,0.0,2.0,5,2.0,2.0,2.48,8.87,1.77,0.00,3.55,✓,,
Invoice(35).pdf,27894B,Method Pink Grapefruit Handsoap 1x354ml,1,1,0,1.0,0,1.0,1,1.0,1.0,4.81,2.79,2.79,0.64,2.79,✓,,
Invoice(35).pdf,30009B,Method All Purpose Spray Pink Grapefruit 1x828ml,1,1,0,1.0,0,1.0,1,1.0,1.0,6.37,3.70,3.70,0.85,3.70,✓,,
Invoice(35).pdf,47264A,Mobia Wheatgrass Shot (Org) 1x(7x30ml),1,1,0,1.0,0,1.0,7,1.0,1.0,10.19,7.28,7.28,0.00,7.28,✓,,
Invoice(35).pdf,12840A,Natural Cool Blueberries (Org) 10x300g,0/6,0/6,0.0,6.0,0.0,6.0,10,6.0,6.0,5.29,37.79,3.78,0.00,22.67,✓,,
Invoice(35).pdf,12842A,Natural Cool Green Beans (Org) 8x450g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,2.89,16.50,2.06,0.00,4.13,✓,,
Invoice(35).pdf,12844A,Natural Cool Leaf Spinach (Org) 8x450g,0/2,0/2,0.0,2.0,0.0,2.0,8,2.0,2.0,2.96,16.90,2.11,0.00,4.22,✓,,
Invoice(35).pdf,20653A,Natural Cool Strawberries (Org) 10x300g,0/2,0/2,0.0,2.0,0.0,2.0,10,2.0,2.0,4.83,34.49,3.45,0.00,6.90,✓,,
Invoice(35).pdf,44770A,Natural Cool Blackberries (Org) 10x300g,0/1,0/1,0.0,1.0,0.0,1.0,10,1.0,1.0,4.83,34.49,3.45,0.00,3.45,✓,,
Invoice(35).pdf,51012A,Natural Cool Potato Pancakes (Org) 10x600g,0/1,0/1,0.0,1.0,0.0,1.0,10,1.0,1.0,6.05,43.23,4.32,0.00,4.32,✓,,
Invoice(35).pdf,43060A,Naturli Vegan Butter Block (Org) GF 15x200g,0/9,0/9,0.0,9.0,0.0,9.0,15,9.0,9.0,2.88,30.89,2.06,0.00,18.53,✓,,
Invoice(35).pdf,48034A,Naturli Vegan Butter Spreadable GF (Org) 16x450g,0/3,0/3,0.0,3.0,0.0,3.0,16,3.0,3.0,5.17,59.07,3.69,0.00,11.08,✓,,
Invoice(35).pdf,26708A,Optima Aloe Vera Gel - Paraben Free (Org) 1x100ml,2,2,0,2.0,0,2.0,1,2.0,2.0,9.57,5.19,5.19,2.39,10.37,✓,,
Invoice(35).pdf,44805B,Roll It Pastry Shortcrust Pastry - Gluten Free 1x400g,2,2,0,2.0,0,2.0,1,2.0,2.0,10.23,6.44,6.44,1.74,12.87,✓,,
Invoice(35).pdf,39875A,Rude Health Chickpea & Lentil Crackers (Org) 8x120g,1/0,1/0,1.0,0.0,1.0,0.0,8,8.0,8.0,2.34,11.76,1.47,1.59,11.76,✓,,
Invoice(35).pdf,50223B,Salt of the Earth Natural Unscented Spray Refill 1x500ml,2,2,0,2.0,0,2.0,1,2.0,2.0,25.14,13.63,13.63,6.27,27.25,✓,,
Invoice(35).pdf,35415B,Shines of Killybegs Irish Tuna in Olive Oil - Jar 1x185g,2,2,0,2.0,0,2.0,1,2.0,2.0,7.56,5.40,5.40,0.00,10.80,✓,,
Invoice(35).pdf,37730B,Shines of Killybegs Irish Albacore Tuna in Olive Oil-Tin 1x111g,3,3,0,3.0,0,3.0,1,3.0,3.0,5.41,3.87,3.87,0.00,11.60,✓,,
Invoice(35).pdf,48644B,Shines of Killybegs Wild Irish Tuna in Spring Water 1x104g,3,3,0,3.0,0,3.0,1,3.0,3.0,5.13,3.67,3.67,0.00,11.00,✓,,
Invoice(35).pdf,19980A,Sojade Mango & Peach Soya Yoghurt (Org) 6x150g,0/1,0/1,0.0,1.0,0.0,1.0,6,1.0,1.0,1.72,6.26,1.04,0.00,1.04,✓,,
Invoice(35).pdf,39156A,Sonnentor Turmeric Ground (Org) 6x40g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.54,10.87,1.81,0.00,10.87,✓,,
Invoice(35).pdf,39160A,Sonnentor Ginger Ground (Org) 6x35g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.29,9.83,1.64,0.00,9.83,✓,,
Invoice(35).pdf,40751A,Sonnentor Garlic Granules (Org) 6x40g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.54,10.87,1.81,0.00,10.87,✓,,
Invoice(35).pdf,40992A,Sonnentor Viennese Espresso Beans KILO (Org) 1x1kg,1,1,0,1.0,0,1.0,1,1.0,1.0,38.91,27.79,27.79,0.00,27.79,✓,,
Invoice(35).pdf,43360A,Sonnentor Aladdin's Coffee Spice Mix (Org) 6x25g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.96,16.99,2.83,0.00,16.99,✓,,
Invoice(35).pdf,49832B,"Swedish Nutra Marine Collagen Liquid 10,000mg 1x500ml",1,1,0,1.0,0,1.0,1,1.0,1.0,33.34,19.58,19.58,2.64,19.58,✓,,
Invoice(35).pdf,33335A,SynerChi Ginger & Lemongrass (Org) 1x330ml,12,12,0,12.0,0,12.0,1,12.0,12.0,3.32,1.93,1.93,5.33,23.16,✓,,
Invoice(35).pdf,39397A,SynerChi Pear with Matcha Tea (Org) 1x330ml,4,4,0,4.0,0,4.0,1,4.0,4.0,3.32,1.93,1.93,1.78,7.72,✓,,
Invoice(35).pdf,46711A,SynerChi Coconut & Pineapple (Org) 1x330ml,3,3,0,3.0,0,3.0,1,3.0,3.0,3.32,1.93,1.93,1.33,5.79,✓,,
Invoice(35).pdf,14167A,Taifun Grill Sausages (Org) 6x250g,0/2,0/2,0.0,2.0,0.0,2.0,6,2.0,2.0,6.33,27.11,4.52,0.00,9.04,✓,,
Invoice(35).pdf,14170A,Taifun Tofu Fillets Japanese Style GF (Org) 8x160g,0/1,0/1,0.0,1.0,0.0,1.0,8,1.0,1.0,4.50,25.70,3.21,0.00,3.21,✓,,
Invoice(35).pdf,45361B,Together Health Wholeherb KSM-66 Ashwagandha 1x30Caps,1,1,0,1.0,0,1.0,1,1.0,1.0,13.42,6.30,6.30,0.85,6.30,✓,,
Invoice(35).pdf,36785A,True Natural GoodneCsacao Powder (Org) 1x120g,2,2,0,2.0,0,2.0,1,2.0,2.0,5.23,3.74,3.74,0.00,7.48,✓,,
Invoice(35).pdf,36786A,True Natural GoodneCsacao Powder (Org) 1x220g,4,4,0,4.0,0,4.0,1,4.0,4.0,8.14,5.81,5.81,0.00,23.25,✓,,
Invoice(35).pdf,37390B,True Natural GoodneXsylitol 1x500g,5,5,0,5.0,0,5.0,1,5.0,5.0,8.90,6.36,6.36,0.00,31.80,✓,,
Invoice(35).pdf,49607B,True Natural GoodneIsrish Spring Water 24x500ml,1/0,1/0,1.0,0.0,1.0,0.0,24,24.0,24.0,1.00,13.94,0.58,3.21,13.94,✓,,
Invoice(35).pdf,50510A,True Natural GoodnePseanut Butter Smooth (Org) 6x250g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.48,16.32,2.72,0.00,16.32,✓,,
Invoice(35).pdf,50435A,Ucha Kombucha Rapberry Kombucha (Org) 1x350ml,7,7,0,7.0,0,7.0,1,7.0,7.0,3.00,1.74,1.74,2.80,12.18,✓,,
Invoice(35).pdf,37552A,Urtekram Coconut Shampoo (Normal Hair) (Org) 6x250ml,0/1,0/1,0.0,1.0,0.0,1.0,6,1.0,1.0,10.82,35.19,5.86,1.35,5.86,✓,,
Invoice(35).pdf,12166A,Yogi Tea Yogi Stomach Ease Teabags (Org) 6x17Bags,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.42,14.67,2.44,0.00,14.67,✓,,
Invoice(35).pdf,23570A,Amisa Pure Porridge Oats GF (Org) 6x325g,1/0,0/0,1.0,0.0,0.0,0.0,6,6.0,0.0,3.47,14.85,2.48,0.00,0.00,✓,,
Invoice(35).pdf,13206B,Avalon Organics Rosemary Shampoo 1x325ml,2,0,0,2.0,0,0.0,1,2.0,0.0,12.52,6.79,6.79,0.00,0.00,✓,,
Invoice(35).pdf,46184A,Avalon Organics Biotin B-Complex Shampoo (Org) 1x414ml,3,0,0,3.0,0,0.0,1,3.0,0.0,15.03,8.15,8.15,0.00,0.00,✓,,
Invoice(35).pdf,27001A,Biona Elderberry Super Juice 100% Pure (Or 6x330ml,1/0,0/0,1.0,0.0,0.0,0.0,6,6.0,0.0,5.83,20.31,3.38,0.00,0.00,✓,,
Invoice(35).pdf,27893B,Method Delisted Lavender Handsoap 1x354ml,1,0,0,1.0,0,0.0,1,1.0,0.0,N/A,0.00,0.00,0.00,0.00,✓,,
Invoice(35).pdf,11101A,Doves Farm Plain White Flour (Org) 5x1kg,3/0,0/0,3.0,0.0,0.0,0.0,5,15.0,0.0,2.46,7.47,1.49,0.00,0.00,✓,,
Invoice(35).pdf,43665A,Doves Farm Apple Oatbars Sultanas (Org) GF 18x35g,1/0,0/0,1.0,0.0,0.0,0.0,18,18.0,0.0,0.98,11.08,0.62,0.00,0.00,✓,,
Invoice(35).pdf,46769A,Doves Farm Fruit & Fibre Flakes GF (Org) 5x375g,1/0,0/0,1.0,0.0,0.0,0.0,5,5.0,0.0,5.06,18.06,3.61,0.00,0.00,✓,,
Invoice(35).pdf,50176A,Doves Farm Foods Cranberry Oat Bar GF (Org) 18x35g,1/0,0/0,1.0,0.0,0.0,0.0,18,18.0,0.0,0.98,11.08,0.62,0.00,0.00,✓,,
Invoice(35).pdf,19201B,Eco Bath Co Natural Sisal Nail Brush 1x1,3,0,0,3.0,0,0.0,1,3.0,0.0,4.25,2.30,2.30,0.00,0.00,✓,,
