Code,Product,Ordered,Qty,RSP,Price,Tax,Value
37145A,Nairns Super Seeded Oatcakes (Org) 8x200g,1/0,1/0,3.51,13.05,3,13.05
12842A,Natural Cool Green Beans (Org) 8x450g,0/1,0/1,3.05,17.42,0,2.18
12844A,Natural Cool Leaf Spinach (Org) 8x450g,0/3,0/3,3.05,17.42,0,6.53
12845A,Natural Cool Peas Demeter 8x450g,0/1,0/1,4.2,24.02,0,3
20649A,Natural Cool Broccoli (Org) 8x300g,0/2,0/2,3.05,17.42,0,4.36
20653A,Natural Cool Strawberries (Org) 10x300g,0/4,0/4,6.03,43.07,0,17.23
44062A,Natural Cool Curly Kale (Org) 8x450g,0/3,0/3,2.86,16.37,0,6.14
46446A,Natural Cool Mini Hash Browns (Rosti) (Org) 10x390g,0/1,0/1,4.74,33.83,0,3.38
43060A,Naturli Vegan Butter Block (Org) GF 15x200g,0/2,0/2,2.88,30.89,0,4.12
10947A,Nielsen Massey Vanilla Extract (Org) Madagascan 1x118ml,1,1,25.61,18.29,0,18.29
10948A,Nielsen Massey Vanilla Extract (Org) Madagascan 1x60ml,2,2,13.62,9.73,0,19.46
35328A,Niks Tea Pu Erh (Org) 1x80g,1,1,5.36,3.83,0,3.83
47175A,Niks Tea Hibiscus (Org) 1x60g,7,7,4.73,3.38,0,23.66
51246B,ProVen Kids Chewable Immunity Vits 1x60Tabs,1,1,10.44,6.13,0.83,6.13
13756A,Rabenhorst Beetroot Juice (100%) (Org) 6x750ml,2/0,2/0,4.51,15.72,7.23,31.43
44560A,Rabenhorst Antiox Juice (Org) 6x750ml,1/0,1/0,5.44,18.97,4.36,18.97
48641B,Rabenhorst Relaxing with Magnesium 6x750ml,1/0,1/0,5.23,18.23,4.19,18.23
39875A,Rude Health Chickpea & Lentil Crackers (Org) 8x120g,1/0,1/0,2.34,11.76,1.59,11.76
48027A,Sambazon Acai Scoopable (Org) 1x500ml,2,2,8.48,4.92,2.27,9.85
37730B,Shines of Killybegs Irish Albacore Tuna in Olive Oil Tin 1x111g,3,3,5.41,3.87,0,11.6
