Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(27).pdf,50266B,Hungry Soul Garlic & Chives Cashew Cream Spread 1x120g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.28,4.49,4.49,0.00,4.49,✓,,
Invoice(27).pdf,50267B,Hungry Soul Smoked Paprika Cashew Cream Spread 1x120g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.28,4.49,4.49,0.00,4.49,✓,,
Invoice(27).pdf,50268B,Hungry Soul Original Cashew Cream Spread 1x120g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.28,4.49,4.49,0.00,4.49,✓,,
Invoice(27).pdf,11574B,IND Prepack Herbs Arrowroot 3x50g,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,1.79,3.57,1.19,0.00,3.57,✓,,
Invoice(27).pdf,12547A,IND Prepacks OrganMicillet Flakes (Org) 6x500g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.78,19.11,3.19,0.00,19.11,✓,,
Invoice(27).pdf,12711A,IND Prepacks OrganSicpelt Grain (Org) 6x500g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.59,10.37,1.73,0.00,10.37,✓,,
Invoice(27).pdf,28551A,IND Prepacks OrganPicsyllium Husks (Org) 1x250g,2,2,0,2.0,0,2.0,1,2.0,2.0,10.48,6.99,6.99,0.00,13.97,✓,,
Invoice(27).pdf,34844A,Iswari Awakening Bowl Acai Banana Strawb (O 1x360g,2,2,0,2.0,0,2.0,1,2.0,2.0,8.56,5.19,5.19,0.00,10.39,✓,,
Invoice(27).pdf,48691A,Iswari Spirulina & Chlorella Powder (Org) 1x125g,3,3,0,3.0,0,3.0,1,3.0,3.0,8.77,5.33,5.33,0.00,15.98,✓,,
Invoice(27).pdf,34116B,Mag 365 Original Magnesium 1x150g,4,4,0,4.0,0,4.0,1,4.0,4.0,17.59,10.33,10.33,5.58,41.32,✓,,
Invoice(27).pdf,42266B,PrizMAG Pure Magnesium Bisglycinate 1x90Caps,2,2,0,2.0,0,2.0,1,2.0,2.0,23.62,13.87,13.87,3.74,27.74,✓,,
Invoice(27).pdf,50433A,Kefirko Dehydrated Sourdough Starter (Org) 1x15g,1,1,0,1.0,0,1.0,1,1.0,1.0,12.48,8.32,8.32,0.00,8.32,✓,,
Invoice(27).pdf,45856B,Kerzenfarm Beeswax Pillar Thin 1x1,1,1,0,1.0,0,1.0,1,1.0,1.0,11.29,6.12,6.12,1.41,6.12,✓,,
Invoice(27).pdf,48796A,Kiki (*EM*) Mushroom Coffee Powder (Org) 1x75g,2,2,0,2.0,0,2.0,1,2.0,2.0,30.21,18.13,18.13,0.00,36.25,✓,,
Invoice(27).pdf,16247B,Kingfisher Aloe Vera Tea Tree Fennel Toothpaste 12x100ml,0/1,0/1,0.0,1.0,0.0,1.0,12,1.0,1.0,5.58,36.32,3.03,0.70,3.03,✓,,
Invoice(27).pdf,33281B,Kingfisher Childrens Strawberry Toothpaste 12x100ml,0/1,0/1,0.0,1.0,0.0,1.0,12,1.0,1.0,5.58,36.32,3.03,0.70,3.03,✓,,
Invoice(27).pdf,48138B,Kingfisher Mint Toothpaste with Fluoride 12x100ml,0/1,0/1,0.0,1.0,0.0,1.0,12,1.0,1.0,5.58,36.31,3.03,0.70,3.03,✓,,
Invoice(27).pdf,24034B,Lillys Ecoclean Fabric Softener Orange Blossom 6x1L,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,7.20,25.09,4.18,5.77,25.09,✓,,
Invoice(27).pdf,34902B,Linwoods Milled Chia Seed 1x200g,2,2,0,2.0,0,2.0,1,2.0,2.0,8.16,5.83,5.83,0.00,11.65,✓,,
Invoice(27).pdf,34910A,Linwoods Milled Flaxseed 200g (Org) 1x200g,6,6,0,6.0,0,6.0,1,6.0,6.0,4.62,3.30,3.30,0.00,19.82,✓,,
Invoice(27).pdf,45666A,Linwoods Milled Hemp Seed/Flax/Chia Seeds (Or 1x200g,4,4,0,4.0,0,4.0,1,4.0,4.0,5.92,4.23,4.23,0.00,16.91,✓,,
Invoice(27).pdf,30588B,Method Daily Kitchen Spray Clementine 1x828ml,2,2,0,2.0,0,2.0,1,2.0,2.0,4.78,2.77,2.77,1.28,5.55,✓,,
Invoice(27).pdf,47264A,Mobia Wheatgrass Shot (Org) 1x(7x30ml),2,2,0,2.0,0,2.0,7,2.0,2.0,10.19,7.28,7.28,0.00,14.56,✓,,
Invoice(27).pdf,41198A,Mogli Spelt Pretzels (Org) 10x50g,1/0,1/0,1.0,0.0,1.0,0.0,10,10.0,10.0,1.80,11.32,1.13,1.53,11.31,✓,,
