Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
5001739,1,1,12,250 gram,"Crackers extr. virgin olive oil, gezB.,i oClorgicishch IT",1.77,3.19,21.24,Order_4191827.pdf
5001744,1,1,12,250 gram,"Crackers sesame & rosemary, CBriicohlogisch IT",1.77,3.19,21.24,Order_4191827.pdf
5001794,1,1,6,750 millilitre,"Ginger-bear, Belvoir Farm Biologisch NL",2.99,5.49,17.94,Order_4191827.pdf
5001912,1,1,6,100 gram,"Truffles hazelnut 72%, Belvas Biologisch BE",3.07,5.39,18.42,Order_4191827.pdf
5003175,1,1,6,"30,60 gram","Herbal-tea woman's tea, Yogi TeBaiologisch DE",2.06,3.99,12.36,Order_4191827.pdf
5003567,2,2,8,1 litre,"Soyadrink natural, Natumi Biologisch DE",1.06,1.99,16.96,Order_4191827.pdf
5003847,1,1,10,50 gram,"Curry-paste green, ONOFF Biologisch NL",1.41,2.28,14.10,Order_4191827.pdf
5003910,1,1,6,130 gram,"Pesto ala Genovese, Sole Biologisch IT",2.48,3.98,14.88,Order_4191827.pdf
5004044,1,1,6,270 gram,"Lemoncurd, Mariënwaerdt Biologisch NL",3.30,5.89,19.80,Order_4191827.pdf
5004255,1,1,11,100 gram,"Chocolate-bar dark 60% pomegraBnioalotegi,s Cchhocolat StelClaH",2.63,4.69,28.93,Order_4191827.pdf
5004457,1,1,18,40 gram,"Chocolate-bar milk, creamy caramBioello, gVisicvhani DE",0.90,1.59,16.20,Order_4191827.pdf
5004475,1,1,6,20 gram,"Steinpilze-porcini dried, Pilze WoBhilorlaobgisch DE",2.48,4.39,14.88,Order_4191827.pdf
5004487,2,2,10,125 gram,"Potato-chips salted classic, GoPuBrioelogisch NL",1.30,2.39,26.00,Order_4191827.pdf
5004546,1,1,12,20 pc,"Tampons super plus, Natracare Non-food GB",3.14,5.59,37.68,Order_4191827.pdf
5005027,1,1,6,150 gram,"Nutritional-yeast-flakes, NatufoodNiet-biologisch NL",4.19,7.59,25.14,Order_4191827.pdf
5005183,1,1,24,56 gram,"Licorice-snakes salt, TerraSana Biologisch NL",0.87,1.59,20.88,Order_4191827.pdf
