Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
5014556,1,1,6,500 gram,"Tofu, Yakso Biologisch NL",2.89,5.09,17.34,17.34,PASS,Order_4294423.pdf
5014716,2,2,6,400 gram,"Granola, Rude Health Biologisch CH",3.45,6.09,41.40,41.40,PASS,Order_4294423.pdf
5014717,1,1,6,400 gram,"Muesli, Rude Health Biologisch NL",3.45,6.09,20.70,20.70,PASS,Order_4294423.pdf
5014793,2,2,1,250 gram,"Hamburger-buns gluten-free, SchBnioitlzoegirsch NL",2.74,4.99,5.48,5.48,PASS,Order_4294423.pdf
5014854,1,1,12,330 millilitre,"Gingershot tumeric chili, Frankly Biologisch DK",2.46,5.59,29.52,29.52,PASS,Order_4294423.pdf
5015220,1,1,8,200 gram,"Baquettini rustic gluten free, SchnBiitozloegrisch NL",1.87,3.19,14.96,14.96,PASS,Order_4294423.pdf
5015222,4,4,1,400 gram,"Bread'n-Toast white gluten free, SBicohlongiitszcehr NL",3.05,5.39,12.20,12.20,PASS,Order_4294423.pdf
5015268,1,1,6,350 gram,"Curry-sauce Indian korma, TerraSBiaonloagisch NL",2.44,4.29,14.64,14.64,PASS,Order_4294423.pdf
5015564,2,2,1,300 gram,"Collagen beef, grass-fed, MattissNoinet-biologisch NL",13.14,23.95,26.28,26.28,PASS,Order_4294423.pdf
5016067,1,1,6,200 gram,"Cocoa-paste original, No Sugar DBaiodlodgieissch NL",3.60,6.39,21.60,21.60,PASS,Order_4294423.pdf
5016180,1,1,1,"1,000 pc","Stirrer wood, Paardekooper Non-food CN",3.80,5.99,3.80,3.80,PASS,Order_4294423.pdf
5016241,1,1,6,250 gram,"Hazelnut-spread crunchy, NoccioBlaiotlaogisch IT",2.89,4.99,17.34,17.34,PASS,Order_4294423.pdf
5016245,1,1,6,650 gram,"Cocoa-hazelnut-paste, NocciolataBiologisch IT",5.70,9.99,34.20,34.20,PASS,Order_4294423.pdf
5016266,1,1,12,330 millilitre,"Water-kefir hibiscus & black curraBniotl olegaisfc,h Kéfir Eau VBeErtueuse",1.51,2.69,18.12,18.12,PASS,Order_4294423.pdf
5016389,1,1,6,30 pc,"Dishwasher-tablets all-in-one, YoNkounu-food BE",6.22,12.19,37.32,37.32,PASS,Order_4294423.pdf
5016505,1,1,12,400 millilitre,"Kombucha peach, The Gutsy CaBpitoaliongisch NL10046",1.58,2.89,18.96,18.96,PASS,Order_4294423.pdf
5016585,1,1,6,8 pc,"Toilet-paper 3-layer, Grazie NatuNraiel t-agrarisch IT",1.86,2.99,11.16,11.16,PASS,Order_4294423.pdf
5016590,1,1,1,1 pc,"Frying-pan 20 cm ECO-OK, TVSNon-food NL",28.19,54.99,28.19,28.19,PASS,Order_4294423.pdf
5016711,1,1,6,150 gram,"Brazil-nuts, Horizon Biologisch NL",4.98,8.99,29.88,29.88,PASS,Order_4294423.pdf
5016715,1,1,6,125 gram,"Walnuts, Horizon Biologisch NL",2.05,3.69,12.30,12.30,PASS,Order_4294423.pdf
5016754,1,1,6,100 gram,"Mango disks, Horizon Biologisch NL",2.71,4.99,16.26,16.26,PASS,Order_4294423.pdf
5016770,1,1,12,100 gram,"Macadamia-nuts salted, Horizon Biologisch NL",3.32,5.99,39.84,39.84,PASS,Order_4294423.pdf
5016803,1,1,8,75 gram,"Corn-flips peanut, Trafo Biologisch NL",1.01,1.79,8.08,8.08,PASS,Order_4294423.pdf
5016969,4,4,6,1 litre,"Oatmeal barista, Oatly Biologisch NL",1.71,2.99,41.04,41.04,PASS,Order_4294423.pdf
5016989,1,1,6,150 gram,"Black-pepper, Cook Biologisch FR",4.78,8.49,28.68,28.68,PASS,Order_4294423.pdf
5017110,1,1,7,100 gram,"Squeeze-bag quinoa apple, LoveBmioalodgeisch DK",0.93,1.48,6.51,6.51,PASS,Order_4294423.pdf
5017200,1,1,6,3 pc,"Candle dinner ribbed ivory, BrassNikoana-forsoedn NL",7.37,13.99,44.22,44.22,PASS,Order_4294423.pdf
5017298,1,1,6,750 gram,"Muesli chocolate hazelnut krunchByio, lBogairsnchhouse DE",4.65,8.39,27.90,27.90,PASS,Order_4294423.pdf
5018580,1,1,10,50 gram,"Chocolate strawberry, LandgartenBiologisch AT",1.77,3.09,17.70,17.70,PASS,Order_4294423.pdf
5018612,1,1,12,750 millilitre,"Mineral-water carbonic acid, lemoBnio,l oLgaisncdhpark Bio-quNeLlle 313",0.85,1.49,10.20,10.20,PASS,Order_4294423.pdf
5018793,1,1,6,100 gram,"Marshmallow chocolate, Belvas Biologisch BE",2.79,4.99,16.74,16.74,PASS,Order_4294423.pdf
5018863,1,1,6,32 pc,"Wash-Strips, The Good Brand Niet-biologisch IT",3.75,7.49,22.50,22.50,PASS,Order_4294423.pdf
6000002,1,1,6,130 gram,"Chai-latte mix, Chikko Not CoffeeBiologisch NL",4.22,7.49,25.32,25.32,PASS,Order_4294423.pdf
6000074,1,1,14,100 gram,"Fruit-snack apple-pear apricot, BBei oPlolugsisch NL",0.84,1.49,11.76,11.76,PASS,Order_4294423.pdf
6000466,1,1,12,60 millilitre,"Shot Turmeric ginger chili, FrankBlyiologisch DK",0.93,1.99,11.16,11.16,PASS,Order_4294423.pdf
