Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total
5003569,4,4,8,1 litre,"Oat-Drink natural, Natumi Biologisch AT",1.45,2.59,46.4
5004487,1,1,10,125 gram,"Potato-chips salted classic, GoPuBrioelogisch NL",1.3,2.39,13
5005972,1,1,6,500 millilitre,"Lemonade-syrup Elderflower, BeBlvioolior gFisacrhm NL",4.62,7.99,27.72
5005973,1,1,6,500 millilitre,"Lemonade-syrup ginger, Belvoir FBaiorlmogisch NL",4.62,7.99,27.72
5006035,1,1,12,750 millilitre,"Mineral-water without carbon dioxNidieet-,a Lgrlaarnisllcyhr NL",1.08,1.99,12.96
5006414,1,1,15,160 gram,"Tuna-pieces in water, Fish 4 EveNr atuur/wild DE",2.07,3.79,31.05
5006422,1,1,1,320 gram,"Baguette rustic gluten free, SchnBitzioelorgisch . NL",2.92,5.29,2.92
5006472,1,1,6,750 millilitre,"Apple-juice, Schulp Biologisch NL",2.01,3.69,12.06
5006829,2,2,6,400 millilitre,"Coconut-milk, TerraSana Biologisch LK",1.92,3.49,23.04
5006968,1,1,12,330 millilitre,"Lemonade lime, Lemonaid+ Biologisch DE",1.35,2.39,16.2
5006971,1,1,12,330 millilitre,"Icetea green, ChariTea Biologisch DE",1.35,2.39,16.2
5006972,1,1,12,330 millilitre,"Icetea mate, ChariTea Biologisch DE",1.35,2.39,16.2
5007019,1,1,4,450 gram,"Bleach-Complex and stain removNeorn, -Sfooondett DE",1.89,3.27,7.56
5007109,1,1,12,100 gram,"Corn waffles pure chocolate cocoBnioulto,g Bisocnhvita NL",1.64,2.99,19.68
5007185,1,1,6,1 litre,"Hempdrink sugar free, Ecomil Biologisch ES",2.27,4.19,13.62
5007307,1,1,6,750 millilitre,"Power-juice blueberry, Schulp Biologisch NL",5.49,8.49,32.94
5007378,1,1,3,2 pc,"Vanilla-pods bourbon, Cook Biologisch FR",4.47,7.99,13.41
5008210,1,1,6,750 millilitre,"Toilet-cleaner orange & jasmine, NMoan-rfcoeold's Green SoaNpL",2.29,4.59,13.74
5009980,1,1,10,50 gram,"Raspberry in dark chocolate, LanBdigolaorgtiesnch AT",1.77,3.09,17.7
5011184,1,1,6,1 litre,"Pomegranate-juice, Biona Biologisch NL",4.22,7.49,25.32
5011431,2,2,1,125 gram,"Matcha-powder, Mattisson Biologisch NL",8.84,15.99,17.68
5011506,1,1,1,500 gram,"Sourdough-bread chia quinoa gluBteionlo fgriesceh, Schnitzer NL",3.48,6.29,3.48
5011562,1,1,24,15 gram,"Chewing-Gum spearmint, XyligumNiet-biologisch BE",0.74,1.49,17.76
5011755,1,1,6,400 gram,"Couscous whole wheat, Green ABgieologisch IT",1.59,2.79,9.54
5011870,1,1,4,35 gram,"Herbal-tea calmer chameleon, ClBipioploegrisch NL",2.47,4.49,9.88
5011880,1,1,4,40 gram,"Herbal-tea orange-turmeric, ClippBeiorlogisch NL",2.47,4.49,9.88
5012071,1,1,8,150 gram,"Hazelnuts blanched, Green Age Biologisch NL",2.31,4.19,18.48
5013311,1,1,4,"1,50 kilogram","Dishwasher-powder, Sonett Non-food DE",4.88,8.79,19.52
5014251,1,1,7,50 gram,"Multifruit, Frugi Biologisch DK",1.1,1.99,7.7
5014556,1,1,6,500 gram,"Tofu, Yakso Biologisch NL",2.89,5.09,17.34
5014716,2,2,6,400 gram,"Granola, Rude Health Biologisch CH",3.45,6.09,41.4
5014717,1,1,6,400 gram,"Muesli, Rude Health Biologisch NL",3.45,6.09,20.7
5014793,2,2,1,250 gram,"Hamburger-buns gluten-free, SchBnioitlzoegirsch NL",2.74,4.99,5.48
